CERTIFICATES ,Number ,% of Total 
"No certificate, diploma or degree","9,755",30.70%
High school diploma or equivalent,"9,505",29.90%
"Postsecondary certificate, diploma or degree","12,555",39.50%
Apprenticeship or trades certificate or diploma,"2,335",7.30%
"College, CEGEP or other non-university certificate or diploma","4,980",15.70%
University certificate or diploma below bachelor level,700,2.20%
"University certificate, diploma or degree at bachelor level or abo","4,540",14.30%
Bachelor's degree,"3,665",11.50%
"University certificate, diploma or degree above bachelor level",315,1.00%
